도서명,부제목,출간일,분야,정가,평점,쪽수,eBook 여부,제목 길이,순위,베스트셀러 여부
하버드 상위 1퍼센트의 비밀,신호를 차단하고 깊이 몰입하라,20181017,자기계발,16000,9.2,324,1,15,1,1
날씨가 좋으면 찾아가겠어요(드라마 방영 기념 한정판),이도우 장편소설,20200201,소설,13800,9.5,432,0,14,2,1
당신이 옳다(교보문고 단독 리커버)(찰스 장 아트 에디션),정혜신의 적정심리학,20181010,인문,15800,9.2,316,1,6,3,1
1cm 다이빙(썸머 캣 에디션),"현실에서 딱 1cm 벗어나는 행복을 찾아, 일센티 다이빙",20200121,시/에세이,13500,8.9,248,1,7,4,1
내가 원하는 것을 나도 모를 때(여름 특별판),잃어버린 나를 찾는 인생의 문장들,20200108,인문,16000,9,320,1,17,5,1
페스트(세계문학전집 267),,20110403,소설,13000,9.4,508,1,3,6,1
지적 대화를 위한 넓고 얕은 지식: 제로 편,지혜를 찾아 138억 년을 달리는 시간 여행서,20191224,인문,19800,9.2,556,1,24,7,1
녹나무의 파수꾼(양장본 HardCover),,20200317,소설,17800,9.4,556,1,8,8,1
설민석의 한국사 대모험. 13(반양장),역사의 진실 편: 뒤바뀐 역사를 되돌려라!,20200323,어린이(초등),12000,9.6,200,1,16,9,1
혼돈의 시대 리더의 탄생,,20200226,정치/사회,26800,9.1,712,1,13,10,1
존리의 부자되기 습관(10만부 기념 리커버 한정판)(양장본 HardCover),대한민국 경제독립 액션 플랜,20200115,경제/경영,15000,8.9,216,1,11,11,1
내일의 부. 1: 알파편,세상에서 가장 빨리 99.9% 부자 되는 법!,20200116,경제/경영,16000,9.2,308,1,13,12,1
딸에게 보내는 심리학 편지(10만 부 기념 스페셜 에디션),30년 동안 미처 하지 못했던 그러나 꼭 해 주고 싶은 이야기들,20200128,인문,16000,9.4,336,1,14,13,1
더 해빙(The Having)(양장본 HardCover),부와 행운을 끌어당기는 힘,20200301,자기계발,16000,9,344,1,4,14,1
해커스 토익 기출 보카 TOEIC VOCA(개정판 5판),주제별 연상암기로 토익 영단어 30일 완성!,20200305,외국어,12900,9.6,566,0,23,15,1
데미안(리커버 한정판)(초판본)(1919년 오리지널 초판본 패브릭 에디션)(양장본 HardCover),,20171030,소설,12000,9.6,248,1,3,16,1
주식투자 무작정 따라하기(2020)(개정판),100만 왕초보가 감동한 최고의 주식투자 입문서,20200110,경제/경영,18000,9,420,1,13,17,1
흔한남매. 4(양장본 HardCover),,20200326,어린이(초등),12000,9.2,172,0,7,18,1
지쳤거나 좋아하는 게 없거나,,20190904,시/에세이,13500,8.5,248,1,15,19,1
총 균 쇠,무기 병균 금속은 인류의 운명을 어떻게 바꿨는가,20051219,역사/문화,28000,9.1,751,0,5,20,1
작은 아씨들(영화 공식 원작 소설 오리지널 커버),,20200212,소설,16500,9.4,976,1,6,21,1
팩트풀니스(양장본 HardCover),우리가 세상을 오해하는 10가지 이유와 세상이 생각보다 괜찮은 이유,20190310,인문,19800,9.5,474,1,5,22,1
심리학을 만나 행복해졌다,복잡한 세상과 사람의 마음을 꿰뚫어 보는 심리법칙 75,20200310,자기계발,15800,9.6,336,1,13,23,1
명리심리학,사는 게 내 마음 같지 않을 때,20200225,인문,16000,9.1,308,1,5,24,1
아몬드(양장본 HardCover),손원평 장편소설,20170331,소설,12000,9.3,263,0,3,25,1
설민석의 삼국지. 1,"누구나 쉽게 시작하고, 모두가 빠져드는 이야기",20190717,인문,22000,9.3,440,0,11,26,1
이 한마디가 나를 살렸다,100번 넘어져도 101번 일으켜 세워준 김미경의 말,20200325,자기계발,16000,9.2,280,1,13,27,1
흔한남매 안 흔한 일기. 1(양장본 HardCover),,20200227,어린이(초등),12000,9.3,144,0,15,28,1
우리가 인생이라 부르는 것들,자기 삶의 언어를 찾는 열네 번의 시 강의,20200225,인문,16000,9.7,356,1,15,29,1
내일의 부. 2: 오메가편,세상에서 가장 빨리 99.9% 부자 되는 법!,20200220,경제/경영,16000,9.4,328,1,14,30,1
지적 대화를 위한 넓고 얕은 지식. 1,한 권으로 현실 세계를 통달하는 지식 여행서,20200205,인문,16000,9.2,388,1,21,31,1
우리가 빛의 속도로 갈 수 없다면(양장본 HardCover),김초엽 소설,20190624,소설,14000,9.4,330,1,18,32,1
타인의 해석,당신이 모르는 사람을 만났을 때,20200323,자기계발,18500,8.4,472,1,6,33,1
재무제표 모르면 주식투자 절대로 하지마라(스타강사 사경인 회계사의)(개정판),증권가 일타강사 사경인 회계사가 알려주는 재무제표 바이블,20200110,경제/경영,19800,9.1,360,1,22,34,1
페스트(초판본)(1947년 오리지널 초판본 표지디자인)(양장본 HardCover),,20200320,소설,13800,9.1,432,1,3,35,1
"1일 1페이지, 세상에서 가장 짧은 교양 수업 365",,20191030,인문,16000,9.4,392,1,29,36,1
금융 위기 템플릿(레이 달리오의)(전3권),다가올 금융 위기를 대비하는 원칙,20200224,경제/경영,43000,9.2,668,1,9,37,1
코스모스(보급판),,20100120,과학,18500,9.2,719,1,4,38,1
사피엔스,유인원에서 사이보그까지 인간 역사의 대담하고 위대한 질문,20151124,인문,22000,9.3,636,1,4,39,1
사랑은 내 시간을 기꺼이 건네주는 것이다(양장본 HardCover),이기주 앤솔로지,20200318,시/에세이,14500,9.3,192,1,22,40,1
스스로 행복하라,법정 스님 열반 10주기 특별판,20200106,시/에세이,12000,9.3,216,1,8,41,1
해빗,내 안의 충동을 이겨내는 습관 설계의 법칙,20191217,자기계발,17000,9.5,388,1,2,42,1
부의 추월차선,부자들이 말해 주지 않는 진정한 부를 얻는 방법,20130820,경제/경영,15000,8.9,392,1,7,43,1
당신의 삶에 명상이 필요할 때,"오직 ‘나’다운 답들이 쌓여 있는 곳, 그 유일한 공간을 찾아서",20200305,자기계발,16500,9.4,363,1,16,44,1
아내를 모자로 착각한 남자(개정판)(양장본 HardCover),,20160817,과학,18500,9.2,396,1,14,45,1
추리 천재 엉덩이 탐정. 9: 세 마리 행운 고양이 사건,,20200115,어린이(초등),12000,9.2,88,0,31,46,1
해커스 토익 RC 리딩(Reading)(2020)(개정판 8판),"토익 리딩의 기본서, 문법/독해/어휘에서 실전까지",20200302,외국어,18800,9.5,800,0,12,47,1
에이트(양장본 HardCover),인공지능에게 대체되지 않는 나를 만드는 법,20191021,자기계발,17000,8.4,308,1,3,48,1
