도서명,부제목,출간일,분야,정가,평점,쪽수,eBook 여부,제목 길이,순위,베스트셀러 여부
신경 끄기의 기술,인생에서 가장 중요한 것만 남기는 힘,20171027,자기계발,15000,8.7,236,1,9,1,1
언어의 온도(3주년 150만부 기념 에디션),말과 글에는 나름의 따뜻함과 차가움이 있다,20160819,시/에세이,13800,8.8,308,1,6,2,1
82년생 김지영(오늘의 젊은 작가 13)(양장본 HardCover),조남주 장편소설,20161014,소설,13000,8.9,192,1,8,3,1
트렌드 코리아 2018(10주년 특별판),서울대 소비트렌드분석센터의 2018 전망,20171030,경제/경영,18000,8.3,460,1,12,4,1
파리의 아파트,,20171205,소설,14500,9.1,408,1,7,5,1
나미야 잡화점의 기적(양장본 HardCover),,20121219,소설,14800,9.3,456,1,11,6,1
말의 품격,말과 사람과 품격에 대한 생각들,20190318,인문,14500,8.7,232,1,5,7,1
운다고 달라지는 일은 아무것도 없겠지만(리커버),박준 산문,20170701,시/에세이,12000,9.1,192,1,21,8,1
말 그릇(비울수록 사람을 더 채우는),,20170922,자기계발,15000,8.9,308,1,4,9,1
그대 눈동자에 건배(양장본 HardCover),히가시노 게이고 소설집,20171127,소설,14000,9.2,348,1,10,10,1
오리진. 1,,20171123,소설,13000,9.1,372,0,6,11,1
나는 나로 살기로 했다,,20200316,시/에세이,13800,9,288,1,12,12,1
라틴어 수업(지적이고 아름다운 삶을 위한),,20190429,인문,15000,9.2,312,1,6,13,1
"나, 있는 그대로 참 좋다(몽글몽글 에디션)",자신이 얼마나 아름다운지 모르는 나에게 필요한 마음 주문,20170922,시/에세이,13800,9,264,1,14,14,1
바깥은 여름,김애란 소설,20170628,소설,13000,9.2,272,1,6,15,1
자존감 수업,하루에 하나 나를 사랑하게 되는 자존감 회복 훈련,20160901,인문,14000,9.2,304,1,6,16,1
어떻게 살 것인가,,20130313,인문,15000,9.2,342,1,9,17,1
엄마의 자존감 공부,천 번을 미안해도 나는 엄마다,20171110,자기계발,16000,8.8,304,1,10,18,1
일취월장,일을 잘하기 위한 8가지 원리,20171207,경제/경영,22000,8.8,576,1,4,19,1
아르테미스,달에 사는 수학 천재의 기발한 범죄 프로젝트,20171130,소설,15000,9.2,448,1,5,20,1
도시는 무엇으로 사는가,도시를 보는 열다섯 가지 인문적 시선,20150325,인문,15000,9.2,391,1,12,21,1
미중전쟁. 1: 풍계리 수소폭탄(양장본 HardCover),김진명 장편소설,20171212,소설,13800,8.8,280,1,17,22,1
보노보노처럼 살다니 다행이야(윈터 에디션),,20170406,시/에세이,16000,9.2,320,0,15,23,1
좀비고등학교 코믹스. 4,,20171215,어린이(초등),9800,8.7,160,0,13,24,1
넛지 : 똑똑한 선택을 이끄는 힘(양장본 HardCover),,20090422,경제/경영,15500,8.8,428,1,18,25,1
어떻게 원하는 것을 얻는가(밀리언 특별판)(개정판),20년 연속 와튼스쿨 최고 인기 강의,20171108,자기계발,16000,8.8,404,0,14,26,1
지적 대화를 위한 넓고 얕은 지식,"역사, 경제, 정치, 사회, 윤리 편",20170117,인문,16000,9.1,376,0,18,27,1
설민석의 한국사 대모험. 5,조선 시대 편: 온달이 아빠는 너무 바빠요!,20171215,어린이(초등),10500,9.4,204,1,15,28,1
너라는 계절(감성 일러스트 에디션),김지훈 이야기 산문집,20171123,시/에세이,14800,9,440,0,6,29,1
해커스 토익 기출 보카(TOEIC VOCA),최신 기출 토익 어휘수록·영단어 30일 완성,20180810,외국어,12900,9.5,567,0,12,30,1
유병재 농담집 블랙코미디,,20171030,시/에세이,13000,8.9,200,1,13,31,1
개인주의자 선언,판사 문유석의 일상유감,20150923,인문,13500,9.1,280,1,8,32,1
사피엔스,유인원에서 사이보그까지 인간 역사의 대담하고 위대한 질문,20151124,인문,22000,9.3,636,1,4,33,1
미움받을 용기,자유롭고 행복한 삶을 위한 아들러의 가르침,20141117,인문,14900,9.2,336,1,7,34,1
설민석의 조선왕조실록,대한민국이 선택한 역사 이야기,20160720,역사/문화,22000,9.1,504,0,11,35,1
남아 있는 나날(모던 클래식 34),,20140128,소설,13000,9,310,1,8,36,1
하루 5분 아침 일기,,20171106,자기계발,15800,9.5,280,0,11,37,1
가면산장 살인사건(양장본 HardCover),,20140926,소설,14800,9.3,336,0,9,38,1
호모 데우스,미래의 역사,20170519,인문,22000,9.3,630,1,6,39,1
횡설수설하지 않고 정확하게 설명하는 법,당신이 설명을 못하는 데는 사소한 이유가 있다,20170828,자기계발,13000,8.9,224,1,21,40,1
겟 스마트,생각하고 행동하는 최단거리형 노력의 힘,20171125,자기계발,15000,8.3,240,1,5,41,1
약간의 거리를 둔다,소노 아야코 에세이,20161020,시/에세이,9900,8.6,160,1,10,42,1
"취향을 설계하는 곳, 츠타야",혁신의 아이콘 마스다 무네아키 34년간의 비즈니스 인사이트,20171121,경제/경영,17800,9.3,428,1,15,43,1
너의 췌장을 먹고 싶어(노블판),,20170401,소설,13800,9.5,328,0,12,44,1
살인자의 기억법,김영하 장편소설,20130725,소설,10000,9.1,176,1,8,45,1
나의 영어 사춘기(리커버)(개정판),,20171222,외국어,13500,8.2,256,1,9,46,1
현남 오빠에게,페미니즘 소설,20171115,소설,14000,9,284,1,7,47,1
손석희의 저주,태블릿 PC 조작보도에 무너져버린 대한민국,20171129,정치/사회,15000,8.5,326,0,7,48,1
기사단장 죽이기. 1: 현현하는 이데아(양장본 HardCover),무라카미 하루키 장편소설,20170712,소설,16300,9.2,568,1,21,49,1
"김영철, 타일러의 진짜 미국식 영어(한 마디를 해도 통하는)",,20171208,외국어,14800,9.3,328,1,19,50,1
하늘 100층짜리 집(양장본 HardCover),,20171225,유아(0~7세),12000,8.5,32,0,11,51,1
오직 두 사람,김영하 소설,20170525,소설,13000,9.2,272,1,7,52,1
꽃을 보듯 너를 본다(J.H CLASSIC 2)(양장본 HardCover),나태주 시집,20150620,시/에세이,10000,9.2,184,0,11,53,1
"명견만리: 정치, 생애, 직업, 탐구 편",지금까지 경험하지 못한 새로운 사회를 말하다,20170605,경제/경영,15800,9.6,304,1,22,54,1
아무것도 아닌 지금은 없다,,20170801,시/에세이,13000,9.4,240,1,14,55,1
제4차 산업혁명(클라우스 슈밥의),,20160420,경제/경영,15000,8.8,300,1,8,56,1
추리 천재 엉덩이 탐정. 5: 유적에서 날아온 SOS 사건(양장본 HardCover),,20171220,어린이(초등),12000,9,88,0,32,57,1
영어회화 100일의 기적,100일 후에는 나도 영어로 말한다!,20150525,외국어,13500,8.8,256,1,13,58,1
